Coefficients,Estimate,Std.Error,t.value,p.value,lg neg
f_195,2.32E-06,0.000291332,0.007972919,0.993672345,0.002756797
f_196,-7.00E-05,0.000293885,-0.238219519,0.812746394,0.090044949
f_197,0.00014097,0.00029617,0.475975741,0.636296776,0.196340277
f_198,-0.000138043,0.000296914,-0.464926234,0.644131145,0.191025701
f_199,4.20E-05,0.000300716,0.13974305,0.889460141,0.050873509
f_200,0.000262573,0.00030349,0.865177953,0.391335835,0.407450381
f_201,7.39E-05,0.000304489,0.242807641,0.809210948,0.09193825
f_202,-2.80E-05,0.00030502,-0.091928093,0.927145882,0.032851926
f_203,0.000705742,0.000307888,2.29220432,0.026417511,1.578108102
f_204,-0.000417301,0.000309261,-1.349350056,0.183689049,0.735916735
f_205,-0.000522141,0.000310241,-1.683015329,0.099004466,1.004345212
f_206,1.98E-06,0.000313084,0.006318511,0.994985335,0.00218332
f_207,-0.000127145,0.000313529,-0.405527249,0.686930183,0.1630874
f_208,-6.31E-05,0.00031612,-0.199705108,0.842572758,0.074392586
f_209,0.000183398,0.000320157,0.572837654,0.569485136,0.244517607
f_210,5.01E-05,0.000324127,0.154503228,0.877874535,0.056567548
f_211,0.000173059,0.000324906,0.532642428,0.596790571,0.224178047
f_212,-6.00E-05,0.000327754,-0.183046668,0.85554875,0.067755239
f_213,-0.000434079,0.000330518,-1.313328592,0.195447935,0.708968914
f_214,-6.61E-05,0.000331463,-0.199569028,0.842678584,0.074338043
f_215,9.16E-05,0.0003336,0.274453872,0.784938614,0.105164306
f_216,-2.07E-05,0.000334833,-0.061771762,0.951006534,0.021816499
f_217,-0.000249589,0.000338151,-0.73809799,0.464124523,0.333365484
f_218,-3.53E-05,0.000338592,-0.104112516,0.917523073,0.037383006
f_219,0.00060566,0.000340741,1.777477953,0.081960533,1.086395229
f_220,-4.17E-05,0.00034357,-0.121242425,0.904015894,0.043823934
f_221,0.000501024,0.000344063,1.456196344,0.151986516,0.818194941
f_222,-0.000226443,0.00034915,-0.648554422,0.519782796,0.284178099
f_223,3.26E-05,0.000350283,0.093160347,0.926172169,0.033308274
f_224,-0.000220547,0.000353873,-0.623238341,0.536140738,0.270721192
f_225,0.000286379,0.000356385,0.803565727,0.425693324,0.370903161
f_226,-0.000201799,0.000356658,-0.565806067,0.57421718,0.240923818
f_227,0.000117192,0.000361746,0.323961509,0.747404468,0.126444311
f_228,8.36E-05,0.000362512,0.230653955,0.81858473,0.086936361
f_229,-0.000755743,0.000366587,-2.061566605,0.044803808,1.348685073
f_230,-0.000143287,0.000370456,-0.38678612,0.700660302,0.154492488
f_231,0.000530552,0.000372515,1.424243178,0.160982077,0.793222472
f_232,-0.000103692,0.000373671,-0.277495636,0.782616525,0.106450986
f_233,-5.79E-05,0.00037693,-0.153728162,0.878482255,0.056267007
f_234,-0.000343682,0.000379033,-0.906735777,0.369171979,0.43277127
f_235,0.000358651,0.000381369,0.940429972,0.351805557,0.453697305
f_236,-0.000492752,0.000384713,-1.280831325,0.20653734,0.685001421
f_237,0.000279841,0.000390465,0.716685229,0.477114783,0.321377127
f_238,-0.000215282,0.000390698,-0.551019334,0.58423044,0.233415819
f_239,-0.000381785,0.000394343,-0.968156567,0.33792204,0.471183482
f_240,0.000154097,0.000399341,0.385876926,0.701329016,0.154078193
f_241,-0.000432988,0.000403706,-1.072532895,0.288957036,0.539166726
f_242,-0.000335607,0.000404704,-0.829263689,0.411147167,0.386002697
f_243,4.30E-05,0.000408191,0.105279636,0.916601955,0.037819221
f_244,-0.000564317,0.000411063,-1.372823665,0.176322364,0.753692601
f_245,-0.000675704,0.000416141,-1.623735376,0.111121208,0.954203046
